,sessionID,time,x,y
1239,s30,2016-09-11 21:23:56,-3534.8099069804884,-72379.36236809986
1240,s30,2016-09-11 21:24:01,-3534.8099069804884,-72379.36236809986
1241,s30,2016-09-11 21:24:06,-3534.8099069804884,-72379.36236809986
1242,s30,2016-09-11 21:24:11,-3534.8099069804884,-72379.36236809986
1243,s30,2016-09-11 21:24:16,-3534.8099069804884,-72379.36236809986
1244,s30,2016-09-11 21:24:21,-3534.8099069804884,-72379.36236809986
1245,s30,2016-09-11 21:24:26,-3534.8099069804884,-72379.36236809986
1246,s30,2016-09-11 21:24:31,-3534.8099069804884,-72379.36236809986
1247,s30,2016-09-11 21:24:36,-3534.8099069804884,-72379.36236809986
1248,s30,2016-09-11 21:24:41,-3534.8099069804884,-72379.36236809986
1249,s30,2016-09-11 21:24:46,-3534.8099069804884,-72379.36236809986
1250,s30,2016-09-11 21:24:51,-3534.8099069804884,-72379.36236809986
1251,s30,2016-09-11 21:24:56,-3534.8099069804884,-72379.36236809986
1252,s30,2016-09-11 21:25:01,-3534.8099069804884,-72379.36236809986
1253,s30,2016-09-11 21:25:06,-3534.8099069804884,-72379.36236809986
1254,s30,2016-09-11 21:25:11,-3534.8099069804884,-72379.36236809986
1255,s30,2016-09-11 21:25:16,-3534.8099069804884,-72379.36236809986
1256,s30,2016-09-11 21:25:21,-3534.8099069804884,-72379.36236809986
1257,s30,2016-09-11 21:25:26,-3534.8099069804884,-72379.36236809986
1258,s30,2016-09-11 21:25:31,-3536.5746646933258,-72379.36311089201
1259,s30,2016-09-11 21:25:36,-3538.3426946857944,-72371.5952404216
1260,s30,2016-09-11 21:25:41,-3537.4607823644765,-72370.48506686231
1261,s30,2016-09-11 21:25:46,-3537.4607823644765,-72370.48506686231
1262,s30,2016-09-11 21:25:51,-3537.4607823644765,-72370.48506686231
1263,s30,2016-09-11 21:25:56,-3537.4607823644765,-72370.48506686231
1264,s30,2016-09-11 21:26:01,-3537.4607823644765,-72370.48506686231
1265,s30,2016-09-11 21:26:06,-3537.4607823644765,-72370.48506686231
1266,s30,2016-09-11 21:26:11,-3537.4607823644765,-72370.48506686231
1267,s30,2016-09-11 21:26:16,-3537.4607823644765,-72370.48506686231
1268,s30,2016-09-11 21:26:21,-3537.4607823644765,-72370.48506686231
1269,s30,2016-09-11 21:26:26,-3537.4607823644765,-72370.48506686231
1270,s30,2016-09-11 21:26:31,-3537.4607823644765,-72370.48506686231
1271,s30,2016-09-11 21:26:36,-3537.4607823644765,-72370.48506686231
1272,s30,2016-09-11 21:26:41,-3537.4607823644765,-72370.48506686231
1273,s30,2016-09-11 21:26:46,-3537.4607823644765,-72370.48506686231
1274,s30,2016-09-11 21:26:51,-3537.4607823644765,-72370.48506686231
1275,s30,2016-09-11 21:26:56,-3537.4607823644765,-72370.48506686231
1276,s30,2016-09-11 21:27:01,-3537.4607823644765,-72370.48506686231
1277,s30,2016-09-11 21:27:06,-3537.4607823644765,-72370.48506686231
1278,s30,2016-09-11 21:27:11,-3537.4607823644765,-72370.48506686231
1279,s30,2016-09-11 21:27:16,-3537.4607823644765,-72370.48506686231
1280,s30,2016-09-11 21:27:21,-3537.4607823644765,-72370.48506686231
1281,s30,2016-09-11 21:27:26,-3537.4607823644765,-72370.48506686231
1282,s30,2016-09-11 21:27:31,-3537.4607823644765,-72370.48506686231
1283,s30,2016-09-11 21:27:36,-3537.4607823644765,-72370.48506686231
1284,s30,2016-09-11 21:27:41,-3575.4035856109113,-72369.39132864587
1285,s30,2016-09-11 21:27:46,-3571.8754816940054,-72366.0604213681
1286,s30,2016-09-11 21:27:51,-3568.345489246305,-72367.16872323398
1287,s30,2016-09-11 21:27:56,-3566.580728971865,-72367.16797376703
1288,s30,2016-09-11 21:28:01,-3563.9331177109852,-72368.27665218012
1289,s30,2016-09-11 21:28:06,-3563.9331177109852,-72368.27665218012
1290,s30,2016-09-11 21:28:11,-3563.9331177109852,-72368.27665218012
1291,s30,2016-09-11 21:28:16,-3563.0516791553237,-72366.05667403527
1292,s30,2016-09-11 21:28:21,-3556.8740775450133,-72368.27366024675
1293,s30,2016-09-11 21:28:26,-3553.343618555926,-72370.49177035084
1294,s30,2016-09-11 21:28:31,-3553.343618555926,-72370.49177035084
